date_time,maxtempC,mintempC,uvIndex,DewPointC,FeelsLikeC,HeatIndexC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,weatherDesc,location
2020-01-01 00:00:00,16,7,4,-4,6,7,13,17,45,0.0,1021,7,10,47,6,Partly cloudy,islamabad
2020-01-01 03:00:00,16,7,4,-5,5,7,16,27,42,0.0,1021,7,10,42,8,Partly cloudy,islamabad
2020-01-01 06:00:00,16,7,4,-6,6,7,16,26,38,0.0,1021,7,10,38,8,Partly cloudy,islamabad
2020-01-01 09:00:00,16,7,4,-5,10,11,11,25,32,0.0,1023,11,10,65,6,Partly cloudy,islamabad
2020-01-01 12:00:00,16,7,4,-5,16,16,8,24,23,0.0,1023,16,10,120,7,Partly cloudy,islamabad
2020-01-01 15:00:00,16,7,4,-6,16,16,13,54,23,0.0,1022,16,10,150,10,Overcast,islamabad
2020-01-01 18:00:00,16,7,4,-5,12,12,9,100,31,0.0,1022,12,10,115,4,Overcast,islamabad
2020-01-01 21:00:00,16,7,4,-5,9,10,10,100,32,0.0,1023,9,10,22,5,Overcast,islamabad
2020-01-02 00:00:00,15,10,3,-7,10,10,13,94,29,0.0,1024,10,10,14,6,Cloudy,islamabad
2020-01-02 03:00:00,15,10,3,-7,10,10,14,80,29,0.0,1023,10,10,31,6,Cloudy,islamabad
2020-01-02 06:00:00,15,10,3,-7,10,10,13,84,29,0.0,1023,10,10,141,6,Overcast,islamabad
2020-01-02 09:00:00,15,10,3,-5,12,12,10,100,30,0.0,1025,12,10,353,6,Overcast,islamabad
2020-01-02 12:00:00,15,10,3,-2,15,15,9,100,31,0.0,1025,15,10,336,8,Overcast,islamabad
2020-01-02 15:00:00,15,10,3,0,15,15,13,82,36,0.0,1023,15,10,315,11,Partly cloudy,islamabad
2020-01-02 18:00:00,15,10,3,1,12,13,15,63,47,0.0,1022,13,10,229,9,Overcast,islamabad
2020-01-02 21:00:00,15,10,3,1,9,10,19,96,53,0.0,1022,10,10,12,10,Overcast,islamabad
2020-01-03 00:00:00,16,9,3,0,9,10,13,100,51,0.0,1023,10,10,328,6,Overcast,islamabad
2020-01-03 03:00:00,16,9,3,1,9,10,14,83,53,0.0,1021,10,10,329,7,Partly cloudy,islamabad
2020-01-03 06:00:00,16,9,3,1,8,9,15,57,56,0.0,1021,9,10,349,8,Cloudy,islamabad
2020-01-03 09:00:00,16,9,3,1,11,11,10,72,51,0.0,1021,11,10,325,6,Cloudy,islamabad
2020-01-03 12:00:00,16,9,3,2,15,15,7,66,40,0.0,1021,15,10,285,6,Partly cloudy,islamabad
2020-01-03 15:00:00,16,9,3,3,16,16,8,41,42,0.0,1018,16,10,271,6,Partly cloudy,islamabad
2020-01-03 18:00:00,16,9,3,3,12,13,10,28,53,0.0,1017,13,10,287,7,Partly cloudy,islamabad
2020-01-03 21:00:00,16,9,3,2,9,10,14,23,60,0.0,1017,10,10,337,7,Partly cloudy,islamabad
2020-01-04 00:00:00,15,8,4,3,8,8,13,67,70,0.1,1017,8,9,65,6,Partly cloudy,islamabad
2020-01-04 03:00:00,15,8,4,3,7,8,14,21,73,0.0,1017,8,10,60,7,Partly cloudy,islamabad
2020-01-04 06:00:00,15,8,4,3,7,8,13,12,73,0.0,1017,8,10,47,6,Partly cloudy,islamabad
2020-01-04 09:00:00,15,8,4,3,10,10,9,36,63,0.0,1018,10,10,91,5,Patchy rain possible,islamabad
2020-01-04 12:00:00,15,8,4,4,15,15,5,80,46,0.3,1018,15,10,212,4,Patchy rain possible,islamabad
2020-01-04 15:00:00,15,8,4,3,16,15,8,80,44,0.7,1016,15,9,289,6,Patchy rain possible,islamabad
2020-01-04 18:00:00,15,8,4,4,13,12,6,78,55,0.6,1016,12,9,211,4,Patchy rain possible,islamabad
2020-01-04 21:00:00,15,8,4,3,9,9,13,71,62,0.2,1018,9,10,41,6,Patchy rain possible,islamabad
2020-01-05 00:00:00,16,7,4,2,7,8,19,50,61,0.2,1019,8,10,47,9,Partly cloudy,islamabad
2020-01-05 03:00:00,16,7,4,1,6,8,18,6,61,0.0,1019,8,10,40,8,Partly cloudy,islamabad
2020-01-05 06:00:00,16,7,4,-0,6,7,16,6,59,0.0,1019,7,10,26,8,Partly cloudy,islamabad
2020-01-05 09:00:00,16,7,4,-1,9,10,12,35,50,0.0,1020,10,10,119,7,Overcast,islamabad
